Time,Lat,Long,SS-RSRP,PCI
33:32.5,37.380004,-120.809159,-86.3,512
33:32.5,37.380004,-120.809159,-85.6,512
33:32.7,37.380004,-120.809176,-85.6,512
33:33.0,37.380004,-120.809176,-84.5,512
33:33.5,37.380004,-120.809176,-86.4,512
33:33.7,37.380004,-120.80919,-86.4,512
33:34.0,37.380004,-120.80919,-86.1,512
33:34.5,37.380004,-120.80919,-85.4,512
33:34.7,37.380005,-120.809205,-85.4,512
33:35.0,37.380005,-120.809205,-82.5,512
33:35.6,37.380005,-120.809205,-85.5,512
33:35.7,37.380007,-120.809218,-85.5,512
33:36.1,37.380007,-120.809218,-83.4,512
33:36.6,37.380007,-120.809218,-85.6,512
33:36.7,37.380005,-120.80923,-85.6,512
33:37.1,37.380005,-120.80923,-88.1,512
33:37.6,37.380005,-120.80923,-86.3,512
33:37.7,37.380003,-120.80924,-86.3,512
33:38.1,37.380003,-120.80924,-87.7,512
33:38.6,37.380003,-120.80924,-88.1,512
33:38.7,37.380002,-120.80925,-88.1,512
33:39.2,37.380002,-120.80925,-89.4,512
33:39.7,37.380002,-120.80925,-90.4,512
33:39.7,37.380003,-120.809255,-90.4,512
33:40.2,37.380003,-120.809255,-89.5,512
33:40.7,37.380003,-120.809255,-88.4,512
33:41.2,37.380003,-120.809255,-89,512
33:41.7,37.380002,-120.80926,-89,512
33:41.7,37.380002,-120.80926,-89.9,512
33:42.2,37.380002,-120.80926,-88.5,512
33:42.7,37.380002,-120.809263,-88.5,512
33:42.7,37.380002,-120.809263,-90,512
33:43.2,37.380002,-120.809263,-89.8,512
33:43.7,37.380002,-120.809269,-89.8,512
33:43.7,37.380002,-120.809269,-90.2,512
33:44.2,37.380002,-120.809269,-90.9,512
33:44.7,37.380005,-120.809277,-90.9,512
33:44.7,37.380005,-120.809277,-90.3,512
33:45.2,37.380005,-120.809277,-89.3,512
33:45.7,37.380005,-120.809285,-89.3,512
33:45.7,37.380005,-120.809285,-89.8,512
33:46.2,37.380005,-120.809285,-90.8,512
33:46.7,37.380005,-120.809291,-90.8,512
33:46.7,37.380005,-120.809291,-91.8,512
33:47.3,37.380005,-120.809291,-91.1,512
33:47.7,37.380011,-120.809296,-91.1,512
33:48.3,37.380011,-120.809296,-90.6,512
33:48.7,37.380019,-120.8093,-90.6,512
33:48.8,37.380019,-120.8093,-90.9,512
33:49.3,37.380019,-120.8093,-89.9,512
33:49.7,37.380028,-120.809303,-89.9,512
33:49.8,37.380028,-120.809303,-88.6,512
33:50.3,37.380028,-120.809303,-88.3,512
33:50.7,37.380034,-120.809306,-88.3,512
33:50.8,37.380034,-120.809306,-86.5,512
33:51.3,37.380034,-120.809306,-90.5,512
33:51.7,37.38004,-120.80931,-90.5,512
33:51.8,37.38004,-120.80931,-88.4,512
33:52.3,37.38004,-120.80931,-90.3,512
33:52.7,37.380048,-120.809313,-90.3,512
33:52.8,37.380048,-120.809313,-87.1,512
33:53.3,37.380048,-120.809313,-85.6,512
33:53.7,37.380056,-120.809317,-85.6,512
33:53.8,37.380056,-120.809317,-86.1,512
33:54.3,37.380056,-120.809317,-89.3,512
33:54.7,37.380063,-120.80932,-89.3,512
33:54.8,37.380063,-120.80932,-90.8,512
33:55.3,37.380063,-120.80932,-90.4,512
33:55.7,37.38007,-120.809322,-90.4,512
33:55.8,37.38007,-120.809322,-90.5,512
33:56.3,37.38007,-120.809322,-87.2,512
33:56.7,37.380078,-120.809321,-87.2,512
33:56.9,37.380078,-120.809321,-88.3,512
33:57.4,37.380078,-120.809321,-87.8,512
33:57.7,37.380085,-120.80932,-87.8,512
33:57.9,37.380085,-120.80932,-88.4,512
33:58.4,37.380085,-120.80932,-88.9,512
33:58.7,37.380091,-120.809318,-88.9,512
33:58.9,37.380091,-120.809318,-88.7,512
33:59.4,37.380091,-120.809318,-86.1,512
33:59.7,37.380099,-120.809317,-86.1,512
33:59.9,37.380099,-120.809317,-86.3,512
34:00.4,37.380099,-120.809317,-88,512
34:00.7,37.380107,-120.809315,-88,512
34:00.9,37.380107,-120.809315,-87.4,512
